member_id,story_id,tags,outcome,cycle_time_days,quality_notes
M1,HIST-M1-1,"Auth,Payments",blocked,3,clean
M1,HIST-M1-2,Search,done,8,regression
M1,HIST-M1-3,Catalog,reassigned,12,minor-bugs
M1,HIST-M1-4,"Checkout,Payments",blocked,9,clean
M1,HIST-M1-5,"Auth,DesignSystem",done,9,minor-bugs
M1,HIST-M1-6,Catalog,done,12,clean
M1,HIST-M1-7,"Observability,Auth",done,11,clean
M1,HIST-M1-8,"Payments,Auth",reassigned,2,regression
M2,HIST-M2-1,"Payments,Catalog",reassigned,2,clean
M2,HIST-M2-2,"DesignSystem,Auth",blocked,7,clean
M2,HIST-M2-3,"Auth,Search",done,8,clean
M2,HIST-M2-4,Search,done,3,clean
M2,HIST-M2-5,"Catalog,Payments",done,8,clean
M2,HIST-M2-6,Search,blocked,3,minor-bugs
M2,HIST-M2-7,"Observability,Auth",done,9,clean
M2,HIST-M2-8,"DesignSystem,Observability",reassigned,6,clean
M3,HIST-M3-1,Checkout,blocked,7,regression
M3,HIST-M3-2,Search,blocked,3,regression
M3,HIST-M3-3,"Notifications,Catalog",done,3,clean
M3,HIST-M3-4,Notifications,done,6,clean
M3,HIST-M3-5,Payments,done,10,minor-bugs
M3,HIST-M3-6,Notifications,done,11,minor-bugs
M3,HIST-M3-7,Search,done,7,regression
M3,HIST-M3-8,Checkout,reassigned,9,clean
M4,HIST-M4-1,Catalog,blocked,9,clean
M4,HIST-M4-2,"Notifications,Observability",blocked,4,regression
M4,HIST-M4-3,DesignSystem,done,11,clean
M4,HIST-M4-4,Search,reassigned,7,clean
M4,HIST-M4-5,"Search,Payments",reassigned,7,minor-bugs
M4,HIST-M4-6,Observability,done,8,clean
M4,HIST-M4-7,"Checkout,Observability",blocked,8,clean
M4,HIST-M4-8,Catalog,done,6,regression
M5,HIST-M5-1,"Auth,Notifications",done,11,clean
M5,HIST-M5-2,"Payments,Notifications",blocked,7,minor-bugs
M5,HIST-M5-3,"Catalog,Observability",reassigned,11,regression
M5,HIST-M5-4,"Notifications,Search",reassigned,10,regression
M5,HIST-M5-5,"Search,Auth",done,3,clean
M5,HIST-M5-6,"DesignSystem,Search",done,9,regression
M5,HIST-M5-7,DesignSystem,blocked,4,clean
M5,HIST-M5-8,"Notifications,Catalog",done,9,regression
M6,HIST-M6-1,"Auth,Checkout",reassigned,5,clean
M6,HIST-M6-2,"Catalog,Payments",reassigned,7,clean
M6,HIST-M6-3,Auth,reassigned,12,minor-bugs
M6,HIST-M6-4,Auth,done,10,minor-bugs
M6,HIST-M6-5,Catalog,reassigned,9,minor-bugs
M6,HIST-M6-6,"Payments,Auth",reassigned,11,regression
M6,HIST-M6-7,"Notifications,Catalog",done,12,clean
M6,HIST-M6-8,"DesignSystem,Auth",done,11,clean
